timestamp,total_amount
1991-11-27,123.91000000000001
1991-11-28,155.20000000000002
1991-11-29,179.92999999999998
1991-11-30,227.7
1991-12-01,885.1
1991-12-02,1747.6100000000001
1991-12-03,993.54
1991-12-04,219.87
1991-12-05,603.44
1991-12-06,747.11
1991-12-07,1001.03
1991-12-08,533.09
1991-12-09,1264.3
1991-12-10,1043.78
1991-12-11,869.0
1991-12-12,675.5799999999999
1991-12-13,605.8
1991-12-14,536.7
1991-12-15,515.88
1991-12-16,2048.09
1991-12-17,956.7
1991-12-18,452.37
1991-12-19,806.5
1991-12-20,694.66
1991-12-21,819.08
1991-12-22,486.38
1991-12-23,1147.25
1991-12-24,1322.36
1991-12-25,641.5699999999999
1991-12-26,567.9300000000001
1991-12-27,773.38
1991-12-28,473.11
1991-12-29,889.38
1991-12-30,728.0899999999999
1991-12-31,648.0600000000001
1992-01-01,665.33
1992-01-02,819.4
1992-01-03,740.09
1992-01-04,677.23
1992-01-05,1314.17
1992-01-06,1013.34
1992-01-07,589.61
1992-01-08,1854.94
1992-01-09,362.3
1992-01-10,744.91
1992-01-11,907.38
1992-01-12,731.3499999999999
1992-01-13,1031.13
1992-01-14,1328.44
1992-01-15,660.42
1992-01-16,502.40999999999997
1992-01-17,684.06
1992-01-18,490.25999999999993
1992-01-19,1408.1599999999999
1992-01-20,457.89
1992-01-21,834.3299999999999
1992-01-22,349.65999999999997
1992-01-23,569.17
1992-01-24,644.01
1992-01-25,593.39
1992-01-26,849.34
1992-01-27,575.7099999999999
1992-01-28,941.11
1992-01-29,846.06
1992-01-30,1074.87
1992-01-31,726.76
1992-02-01,591.35
1992-02-02,872.2099999999999
1992-02-03,466.69
1992-02-04,100.88
1992-02-05,595.42
1992-02-06,829.1899999999999
1992-02-07,733.64
1992-02-08,645.47
1992-02-09,986.97
1992-02-10,216.57
1992-02-11,1053.88
1992-02-12,996.68
1992-02-13,792.4
1992-02-14,315.35
1992-02-15,1183.8899999999999
1992-02-16,933.26
1992-02-17,263.93
1992-02-18,1026.0900000000001
1992-02-19,987.38
1992-02-20,633.08
1992-02-21,576.89
1992-02-22,1295.33
1992-02-23,493.57
1992-02-24,706.54
1992-02-25,689.8199999999999
1992-02-26,1466.2500000000002
1992-02-27,788.05
1992-02-28,676.03
1992-03-01,337.65
1992-03-02,1127.8600000000001
1992-03-03,1623.1699999999998
1992-03-04,959.28
1992-03-05,777.75
1992-03-06,573.79
1992-03-07,467.09999999999997
1992-03-08,609.47
1992-03-09,739.86
1992-03-10,950.53
1992-03-11,348.66999999999996
1992-03-12,628.06
1992-03-13,1315.1
1992-03-14,641.29
1992-03-15,696.32
1992-03-16,2009.0
1992-03-17,450.62999999999994
1992-03-18,780.9
1992-03-19,682.47
1992-03-20,1010.4
1992-03-21,541.1899999999999
1992-03-22,232.45
1992-03-23,440.0
1992-03-24,562.89
1992-03-25,948.13
1992-03-26,766.8
1992-03-27,936.1
1992-03-28,347.59000000000003
1992-03-29,476.58000000000004
1992-03-30,715.89
1992-03-31,902.8299999999999
1992-04-01,740.51
1992-04-02,633.2
1992-04-03,1154.18
1992-04-04,974.15
1992-04-05,565.38
1992-04-06,628.86
1992-04-07,582.47
1992-04-08,2322.1
1992-04-09,527.58
1992-04-10,986.75
1992-04-11,722.0600000000001
1992-04-12,594.77
1992-04-13,649.63
1992-04-14,836.66
1992-04-15,270.21
1992-04-16,820.9300000000001
1992-04-17,538.91
1992-04-18,1184.54
1992-04-19,779.99
1992-04-20,662.47
1992-04-21,1436.9
1992-04-22,868.9499999999999
1992-04-23,707.62
1992-04-24,1148.81
1992-04-25,253.94
1992-04-26,844.68
1992-04-27,905.86
1992-04-28,614.61
1992-04-29,1004.15
1992-04-30,771.63
1992-05-01,984.08
1992-05-02,448.71
1992-05-03,978.47
1992-05-04,971.87
1992-05-05,691.73
1992-05-06,449.32
1992-05-07,1313.38
1992-05-08,753.3499999999999
1992-05-09,879.15
1992-05-10,406.59000000000003
1992-05-11,551.97
1992-05-12,607.47
1992-05-13,620.12
1992-05-14,1343.17
1992-05-15,752.44
1992-05-16,725.35
1992-05-17,841.1800000000001
1992-05-18,786.76
1992-05-19,737.06
1992-05-20,979.66
1992-05-21,1651.47
1992-05-22,653.56
1992-05-23,514.77
1992-05-24,489.15999999999997
1992-05-25,825.48
1992-05-26,619.4200000000001
1992-05-27,425.1
1992-05-28,706.6700000000001
1992-05-29,727.5
1992-05-30,1279.76
1992-05-31,867.47
1992-06-01,902.91
1992-06-02,753.66
1992-06-03,576.8299999999999
1992-06-04,394.6
1992-06-05,504.58
1992-06-06,909.01
1992-06-07,593.88
1992-06-08,744.41
1992-06-09,752.19
1992-06-10,556.4300000000001
1992-06-11,467.28999999999996
1992-06-12,606.09
1992-06-13,874.33
1992-06-14,470.35
1992-06-15,551.41
1992-06-16,1227.86
1992-06-17,664.49
1992-06-18,713.05
1992-06-19,667.12
1992-06-20,740.67
1992-06-21,681.41
1992-06-22,1746.55
1992-06-23,1091.88
1992-06-24,791.01
1992-06-25,426.58
1992-06-26,255.97
1992-06-27,655.54
1992-06-28,-74.66
1992-06-29,387.98
1992-06-30,578.9399999999999
1992-07-01,550.0999999999999
1992-07-02,657.3
1992-07-03,988.46
1992-07-04,526.9
1992-07-05,314.64
1992-07-06,518.12
1992-07-07,718.49
1992-07-08,424.48
1992-07-09,724.49
1992-07-10,923.64
1992-07-11,542.92
1992-07-12,514.14
1992-07-13,1192.0
1992-07-14,1084.77
1992-07-15,1246.64
1992-07-16,758.4300000000001
1992-07-17,998.27
1992-07-18,884.94
1992-07-19,461.88
1992-07-20,600.0
1992-07-21,1030.19
1992-07-22,852.27
1992-07-23,570.35
1992-07-24,563.23
1992-07-25,536.55
1992-07-26,1074.54
1992-07-27,1262.5900000000001
1992-07-28,1159.71
1992-07-29,565.59
1992-07-30,628.5799999999999
1992-07-31,374.0
1992-08-01,765.96
1992-08-02,536.91
1992-08-03,785.0799999999999
1992-08-04,389.56
1992-08-05,814.59
1992-08-06,768.6100000000001
1992-08-07,404.14
1992-08-08,515.49
1992-08-09,596.5
1992-08-10,645.3
1992-08-11,983.58
1992-08-12,1756.34
1992-08-13,1176.23
1992-08-14,1305.74
1992-08-15,552.45
1992-08-16,684.2
1992-08-17,794.56
1992-08-18,580.17
1992-08-19,1069.43
1992-08-20,813.42
1992-08-21,765.93
1992-08-22,1266.5
1992-08-23,835.8199999999999
1992-08-24,971.86
1992-08-25,388.54
1992-08-26,323.18
1992-08-27,782.09
1992-08-28,501.81
1992-08-29,535.91
1992-08-30,883.28
1992-08-31,766.55
1992-09-01,469.71000000000004
1992-09-02,637.61
1992-09-03,609.4399999999999
1992-09-04,299.09
1992-09-05,547.6800000000001
1992-09-06,1090.6299999999999
1992-09-07,552.71
1992-09-08,654.0699999999999
1992-09-09,923.11
1992-09-10,429.25
1992-09-11,1123.19
1992-09-12,713.0
1992-09-13,594.15
1992-09-14,453.69
1992-09-15,711.62
1992-09-16,707.68
1992-09-17,797.44
1992-09-18,652.34
1992-09-19,671.19
1992-09-20,549.8
1992-09-21,1021.95
1992-09-22,484.5
1992-09-23,441.86
1992-09-24,857.49
1992-09-25,513.6
1992-09-26,1073.76
1992-09-27,682.87
1992-09-28,526.34
1992-09-29,758.6800000000001
1992-09-30,1103.56
1992-10-01,771.81
1992-10-02,512.4300000000001
1992-10-03,1114.04
1992-10-04,405.82000000000005
1992-10-05,720.69
1992-10-06,866.5899999999999
1992-10-07,418.5
1992-10-08,269.93
1992-10-09,727.87
1992-10-10,517.39
1992-10-11,1201.1
1992-10-12,398.01
1992-10-13,423.67
1992-10-14,551.39
1992-10-15,424.05
1992-10-16,1798.6
1992-10-17,788.55
1992-10-18,526.13
1992-10-19,971.8
1992-10-20,442.27
1992-10-21,707.01
1992-10-22,834.9
1992-10-23,619.01
1992-10-24,410.3
1992-10-25,789.19
1992-10-26,1968.88
1992-10-27,661.6
1992-10-28,424.40999999999997
1992-10-29,413.49
1992-10-30,218.09
1992-10-31,701.95
1992-11-01,952.54
1992-11-02,819.53
1992-11-03,630.94
1992-11-04,508.95
1992-11-05,888.88
1992-11-06,717.6
1992-11-07,529.46
1992-11-08,1012.49
1992-11-09,1572.76
1992-11-10,849.62
1992-11-11,1249.41
1992-11-12,1622.07
1992-11-13,827.6
1992-11-14,911.43
1992-11-15,832.68
1992-11-16,890.3
1992-11-17,489.70000000000005
1992-11-18,776.44
1992-11-19,963.44
1992-11-20,978.86
1992-11-21,832.06
1992-11-22,532.62
1992-11-23,1772.09
1992-11-24,676.72
1992-11-25,553.14
1992-11-26,447.36
1992-11-27,960.12
1992-11-28,837.05
1992-11-29,1263.99
1992-11-30,682.02
1992-12-01,845.83
1992-12-02,788.83
1992-12-03,559.67
1992-12-04,634.16
1992-12-05,1087.89
1992-12-06,692.83
1992-12-07,632.49
1992-12-08,901.46
1992-12-09,686.77
1992-12-10,963.48
1992-12-11,1564.6000000000001
1992-12-12,1037.47
1992-12-13,2471.84
1992-12-14,968.5899999999999
1992-12-15,1175.25
1992-12-16,1161.8200000000002
1992-12-17,719.86
1992-12-18,854.29
1992-12-19,718.08
1992-12-20,919.0699999999999
1992-12-21,594.39
1992-12-22,1181.72
1992-12-23,1084.88
1992-12-24,399.5
1992-12-25,852.37
1992-12-26,1068.71
1992-12-27,903.69
1992-12-28,968.41
1992-12-29,830.83
1992-12-30,1037.81
1992-12-31,1720.4
1993-01-01,722.26
1993-01-02,1001.6700000000001
1993-01-03,1445.85
1993-01-04,917.48
1993-01-05,1040.86
1993-01-06,1495.25
1993-01-07,1067.63
1993-01-08,755.8
1993-01-09,1222.94
1993-01-10,914.16
1993-01-11,945.49
1993-01-12,1644.6000000000001
1993-01-13,1243.61
1993-01-14,3145.2599999999998
1993-01-15,783.3
1993-01-16,821.0899999999999
1993-01-17,844.81
1993-01-18,1167.35
1993-01-19,1681.71
1993-01-20,1080.01
1993-01-21,1205.88
1993-01-22,640.33
1993-01-23,1873.3600000000001
1993-01-24,1145.2
1993-01-25,615.19
1993-01-26,1431.12
1993-01-27,819.22
1993-01-28,921.62
1993-01-29,846.3299999999999
1993-01-30,1142.24
1993-01-31,885.85
1993-02-01,825.5
1993-02-02,2242.27
1993-02-03,658.24
1993-02-04,1155.03
1993-02-05,2536.97
1993-02-06,599.15
1993-02-07,1036.45
1993-02-08,1146.8899999999999
1993-02-09,1959.51
1993-02-10,1353.66
1993-02-11,1146.02
1993-02-12,1914.32
1993-02-13,822.19
1993-02-14,1345.9
1993-02-15,960.3299999999999
1993-02-16,1645.69
1993-02-17,1189.29
1993-02-18,898.22
1993-02-19,798.3100000000001
1993-02-20,1084.18
1993-02-21,681.35
1993-02-22,859.98
1993-02-23,1123.6100000000001
1993-02-24,883.86
1993-02-25,1589.16
1993-02-26,804.47
1993-02-27,525.03
1993-02-28,764.78
1993-03-01,1208.47
1993-03-02,2316.77
1993-03-03,898.08
1993-03-04,901.71
1993-03-05,942.39
1993-03-06,1082.37
1993-03-07,2023.21
1993-03-08,591.41
1993-03-09,1405.9099999999999
1993-03-10,485.25
1993-03-11,892.86
1993-03-12,1106.1399999999999
1993-03-13,587.25
1993-03-14,697.49
1993-03-15,924.44
1993-03-16,992.63
1993-03-17,647.9
1993-03-18,1296.01
1993-03-19,919.0799999999999
1993-03-20,1035.98
1993-03-21,1817.68
1993-03-22,1949.73
1993-03-23,719.6899999999999
1993-03-24,2135.24
1993-03-25,1401.77
1993-03-26,1072.72
1993-03-27,1208.1299999999999
1993-03-28,2063.28
1993-03-29,790.2
1993-03-30,830.28
1993-03-31,509.01
1993-04-01,1822.0
1993-04-02,1381.13
1993-04-03,934.51
1993-04-04,804.9
1993-04-05,1615.58
1993-04-06,810.46
1993-04-07,1393.0
1993-04-08,881.24
1993-04-09,916.37
1993-04-10,1280.63
1993-04-11,1494.03
1993-04-12,1454.82
1993-04-13,562.39
1993-04-14,1062.13
1993-04-15,1042.08
1993-04-16,829.78
1993-04-17,635.91
1993-04-18,936.65
1993-04-19,1387.8600000000001
1993-04-20,713.76
1993-04-21,793.1800000000001
1993-04-22,1071.17
1993-04-23,805.26
1993-04-24,1222.77
1993-04-25,798.3299999999999
1993-04-26,882.8000000000001
1993-04-27,929.7
1993-04-28,1197.38
1993-04-29,931.32
1993-04-30,1589.78
1993-05-01,971.02
1993-05-02,994.05
1993-05-03,1279.53
1993-05-04,1595.9199999999998
1993-05-05,1431.69
1993-05-06,2052.49
1993-05-07,1253.44
1993-05-08,851.62
1993-05-09,701.49
1993-05-10,771.56
1993-05-11,1048.6499999999999
1993-05-12,1660.0
1993-05-13,953.39
1993-05-14,1103.77
1993-05-15,577.33
1993-05-16,1507.0
1993-05-17,834.79
1993-05-18,3858.45
1993-05-19,937.97
1993-05-20,1405.98
1993-05-21,1251.3700000000001
1993-05-22,913.1700000000001
1993-05-23,1805.51
1993-05-24,890.09
1993-05-25,1573.08
1993-05-26,1635.33
1993-05-27,1183.35
1993-05-28,2451.86
1993-05-29,811.45
1993-05-30,1030.34
1993-05-31,1265.05
1993-06-01,1252.31
1993-06-02,1780.06
1993-06-03,1537.71
1993-06-04,1089.34
1993-06-05,748.96
1993-06-06,933.72
1993-06-07,1316.43
1993-06-08,1553.0
1993-06-09,830.1899999999999
1993-06-10,1256.01
1993-06-11,1073.69
1993-06-12,1343.23
1993-06-13,1325.67
1993-06-14,2555.67
1993-06-15,804.62
1993-06-16,1334.59
1993-06-17,1470.95
1993-06-18,1161.3799999999999
1993-06-19,1253.96
1993-06-20,1108.34
1993-06-21,685.11
1993-06-22,931.63
1993-06-23,1248.76
1993-06-24,1803.3899999999999
1993-06-25,1589.87
1993-06-26,818.04
1993-06-27,953.1800000000001
1993-06-28,1233.92
1993-06-29,1101.51
1993-06-30,644.16
1993-07-01,1422.96
1993-07-02,1524.52
1993-07-03,953.77
1993-07-04,1033.14
1993-07-05,1202.99
1993-07-06,992.39
1993-07-07,1241.04
1993-07-08,1193.6
1993-07-09,771.85
1993-07-10,1295.12
1993-07-11,736.52
1993-07-12,1597.5
1993-07-13,932.12
1993-07-14,1876.44
1993-07-15,2010.93
1993-07-16,1299.31
1993-07-17,654.73
1993-07-18,1369.74
1993-07-19,1899.82
1993-07-20,1027.75
1993-07-21,1261.98
1993-07-22,2256.74
1993-07-23,907.91
1993-07-24,914.97
1993-07-25,1013.53
1993-07-26,1033.22
1993-07-27,1676.45
1993-07-28,3418.99
1993-07-29,1392.57
1993-07-30,1088.41
1993-07-31,423.6
1993-08-01,1650.18
1993-08-02,1208.72
1993-08-03,1632.29
1993-08-04,984.45
1993-08-05,1384.42
1993-08-06,1187.66
1993-08-07,1341.05
1993-08-08,1789.03
1993-08-09,783.37
1993-08-10,1494.6
1993-08-11,2008.54
1993-08-12,904.26
1993-08-13,2169.8199999999997
1993-08-14,1017.61
1993-08-15,3091.69
1993-08-16,1132.67
1993-08-17,1770.31
1993-08-18,1726.87
1993-08-19,2649.55
1993-08-20,954.02
1993-08-21,1363.8400000000001
1993-08-22,1421.66
1993-08-23,975.43
1993-08-24,1439.17
1993-08-25,1055.01
1993-08-26,3151.29
1993-08-27,934.53
1993-08-28,777.96
1993-08-29,1233.87
1993-08-30,1079.3799999999999
1993-08-31,1344.08
1993-09-01,1590.91
1993-09-02,1072.18
1993-09-03,1211.59
1993-09-04,1888.2
1993-09-05,1083.71
1993-09-06,1179.01
1993-09-07,2676.31
1993-09-08,894.51
1993-09-09,1542.63
1993-09-10,2577.33
1993-09-11,1145.1599999999999
1993-09-12,1692.47
1993-09-13,1060.15
1993-09-14,1466.59
1993-09-15,1821.18
1993-09-16,1550.25
1993-09-17,1427.43
1993-09-18,2587.66
1993-09-19,1062.42
1993-09-20,899.35
1993-09-21,1109.62
1993-09-22,1931.32
1993-09-23,953.97
1993-09-24,945.9200000000001
1993-09-25,1115.68
1993-09-26,1455.76
1993-09-27,1060.03
1993-09-28,1380.69
1993-09-29,1698.77
1993-09-30,2086.16
1993-10-01,841.71
1993-10-02,1519.55
1993-10-03,1002.0
1993-10-04,1809.61
1993-10-05,1368.34
1993-10-06,822.15
1993-10-07,2041.3400000000001
1993-10-08,736.28
1993-10-09,1130.33
1993-10-10,459.71000000000004
1993-10-11,1507.95
1993-10-12,1112.08
1993-10-13,1747.0
1993-10-14,876.98
1993-10-15,587.5699999999999
1993-10-16,955.77
1993-10-17,1356.26
1993-10-18,1400.54
1993-10-19,1167.67
1993-10-20,1634.05
1993-10-21,1302.79
1993-10-22,1130.02
1993-10-23,2194.71
1993-10-24,967.22
1993-10-25,2515.2200000000003
1993-10-26,868.8
1993-10-27,1081.79
1993-10-28,798.95
1993-10-29,1117.6
1993-10-30,803.74
1993-10-31,1732.98
1993-11-01,1254.41
1993-11-02,2589.45
1993-11-03,1886.44
1993-11-04,1639.17
1993-11-05,2914.42
1993-11-06,1564.3
1993-11-07,979.9300000000001
1993-11-08,1021.18
1993-11-09,1648.86
1993-11-10,935.75
1993-11-11,2199.2599999999998
1993-11-12,717.63
1993-11-13,2002.11
1993-11-14,1602.24
1993-11-15,1290.29
1993-11-16,999.87
1993-11-17,792.8299999999999
1993-11-18,2223.64
1993-11-19,2010.78
1993-11-20,879.49
1993-11-21,1097.63
1993-11-22,795.35
1993-11-23,1386.39
1993-11-24,1141.38
1993-11-25,779.27
1993-11-26,1414.81
1993-11-27,1927.3700000000001
1993-11-28,1733.95
1993-11-29,1346.67
1993-11-30,1096.52
1993-12-01,1351.53
1993-12-02,1313.38
1993-12-03,1323.03
1993-12-04,1676.77
1993-12-05,1082.47
1993-12-06,584.21
1993-12-07,2414.37
1993-12-08,3118.63
1993-12-09,847.3499999999999
1993-12-10,1190.27
1993-12-11,815.99
1993-12-12,1401.56
1993-12-13,1739.17
1993-12-14,1290.9099999999999
1993-12-15,1205.98
1993-12-16,1826.19
1993-12-17,3373.7
1993-12-18,1215.18
1993-12-19,1051.1399999999999
1993-12-20,1122.79
1993-12-21,1428.45
1993-12-22,1394.9
1993-12-23,1597.6
1993-12-24,1199.54
1993-12-25,1409.55
1993-12-26,1118.27
1993-12-27,1105.62
1993-12-28,981.81
1993-12-29,1271.53
1993-12-30,1743.49
1993-12-31,1313.15
1994-01-01,1646.28
1994-01-02,1412.29
1994-01-03,1935.93
1994-01-04,1787.31
1994-01-05,1364.55
1994-01-06,1597.85
1994-01-07,2035.7
1994-01-08,1380.16
1994-01-09,974.17
1994-01-10,1971.77
1994-01-11,2038.5
1994-01-12,1722.26
1994-01-13,1182.51
1994-01-14,1165.09
1994-01-15,1126.51
1994-01-16,1529.45
1994-01-17,754.59
1994-01-18,2591.25
1994-01-19,1061.52
1994-01-20,1275.1
1994-01-21,2027.07
1994-01-22,1222.79
1994-01-23,897.44
1994-01-24,1703.1
1994-01-25,1115.68
1994-01-26,1185.06
1994-01-27,1026.97
1994-01-28,1219.77
1994-01-29,1727.21
1994-01-30,1441.88
1994-01-31,2115.5699999999997
1994-02-01,1624.61
1994-02-02,958.91
1994-02-03,1142.44
1994-02-04,1746.25
1994-02-05,1717.06
1994-02-06,1176.35
1994-02-07,1256.87
1994-02-08,1753.72
1994-02-09,1266.92
1994-02-10,2711.64
1994-02-11,1468.06
1994-02-12,1318.55
1994-02-13,1135.9
1994-02-14,1171.81
1994-02-15,1045.84
1994-02-16,1354.21
1994-02-17,1149.88
1994-02-18,1046.48
1994-02-19,1429.17
1994-02-20,1955.63
1994-02-21,861.39
1994-02-22,1068.04
1994-02-23,1255.46
1994-02-24,1629.71
1994-02-25,916.31
1994-02-26,3362.5699999999997
1994-02-27,1546.66
1994-02-28,1075.47
1994-03-01,1182.1599999999999
1994-03-02,1108.15
1994-03-03,1117.54
1994-03-04,1187.72
1994-03-05,1194.04
1994-03-06,836.02
1994-03-07,2459.24
1994-03-08,1323.77
1994-03-09,1496.51
1994-03-10,2024.65
1994-03-11,1571.54
1994-03-12,1957.59
1994-03-13,1534.05
1994-03-14,1775.73
1994-03-15,1142.48
1994-03-16,1604.68
1994-03-17,2022.8600000000001
1994-03-18,1995.74
1994-03-19,1255.16
1994-03-20,988.25
1994-03-21,1733.64
1994-03-22,1468.78
1994-03-23,1041.8600000000001
1994-03-24,864.81
1994-03-25,1361.8600000000001
1994-03-26,1352.42
1994-03-27,880.4399999999999
1994-03-28,1165.2
1994-03-29,1050.84
1994-03-30,1702.66
1994-03-31,1419.1999999999998
1994-04-01,1930.2
1994-04-02,1522.76
1994-04-03,2100.18
1994-04-04,1649.64
1994-04-05,2411.64
1994-04-06,1629.2
1994-04-07,3103.84
1994-04-08,1645.95
1994-04-09,1360.27
1994-04-10,3023.4500000000003
1994-04-11,1265.05
1994-04-12,2774.22
1994-04-13,1822.04
1994-04-14,1696.66
1994-04-15,1557.1200000000001
1994-04-16,1185.33
1994-04-17,3399.49
1994-04-18,1758.42
1994-04-19,5702.41
1994-04-20,1939.89
1994-04-21,1443.84
1994-04-22,3008.82
1994-04-23,2431.7
1994-04-24,1647.33
1994-04-25,1923.97
1994-04-26,2032.96
1994-04-27,2076.29
1994-04-28,1782.51
1994-04-29,1910.95
1994-04-30,2436.83
1994-05-01,1963.51
1994-05-02,2111.87
1994-05-03,1393.22
1994-05-04,2344.19
1994-05-05,2134.7200000000003
